"user_id";"event_date";"event_type"
1;"2023-05-21";watch
1;"2023-06-02";watch
1;"2023-05-25";watch
1;"2023-04-21";watch
1;"2023-06-08";watch
1;"2023-05-11";watch
1;"2023-05-13";watch
1;"2023-04-26";watch
1;"2023-05-18";watch
1;"2023-04-28";watch
1;"2023-06-08";watch
1;"2023-05-03";watch
1;"2023-04-14";watch
1;"2023-04-18";watch
1;"2023-06-07";watch
1;"2023-05-18";watch
1;"2023-05-24";watch
1;"2023-05-22";watch
2;"2023-07-22";watch
2;"2023-07-23";watch
2;"2023-07-04";watch
2;"2023-07-15";watch
2;"2023-06-29";watch
2;"2023-07-07";watch
2;"2023-07-15";watch
2;"2023-07-17";watch
2;"2023-07-09";watch
3;"2023-04-07";watch
3;"2023-04-03";watch
3;"2023-04-07";watch
3;"2023-04-04";watch
4;"2023-01-18";watch
4;"2023-01-27";watch
4;"2023-01-27";watch
4;"2023-01-27";watch
4;"2023-01-17";watch
4;"2023-01-31";watch
4;"2023-01-27";watch
4;"2023-01-15";watch
4;"2023-01-17";watch
4;"2023-01-29";watch
4;"2023-02-08";watch
4;"2023-02-07";watch
4;"2023-02-07";watch
4;"2023-01-21";watch
4;"2023-02-12";watch
4;"2023-01-30";watch
4;"2023-02-01";watch
4;"2023-02-06";watch
4;"2023-01-22";watch
4;"2023-02-11";watch
4;"2023-01-15";watch
5;"2023-06-11";watch
5;"2023-05-07";watch
5;"2023-05-10";watch
5;"2023-06-06";watch
5;"2023-05-05";watch
5;"2023-05-25";watch
5;"2023-06-11";watch
5;"2023-04-19";watch
5;"2023-05-30";watch
5;"2023-05-07";watch
5;"2023-06-10";watch
5;"2023-06-08";watch
5;"2023-05-22";watch
5;"2023-05-15";watch
5;"2023-04-26";watch
5;"2023-06-07";watch
5;"2023-06-13";watch
5;"2023-06-08";watch
6;"2023-03-18";watch
6;"2023-03-22";watch
6;"2023-03-19";watch
6;"2023-04-02";watch
6;"2023-04-06";watch
6;"2023-04-05";watch
6;"2023-03-18";watch
6;"2023-03-13";watch
6;"2023-04-07";watch
7;"2023-02-27";watch
7;"2023-03-12";watch
7;"2023-01-27";watch
7;"2023-03-08";watch
7;"2023-01-23";watch
7;"2023-01-25";watch
7;"2023-03-08";watch
7;"2023-01-25";watch
7;"2023-03-15";watch
7;"2023-02-04";watch
7;"2023-03-19";watch
7;"2023-03-12";watch
7;"2023-01-22";watch
7;"2023-02-11";watch
7;"2023-02-11";watch
7;"2023-03-17";watch
7;"2023-02-18";watch
7;"2023-02-10";watch
7;"2023-01-24";watch
7;"2023-03-03";watch
7;"2023-03-16";watch
7;"2023-02-17";watch
7;"2023-02-27";watch
7;"2023-02-01";watch
7;"2023-02-14";watch
7;"2023-01-22";watch
7;"2023-01-22";watch
7;"2023-02-13";watch
7;"2023-01-28";watch
7;"2023-02-08";watch
7;"2023-01-25";watch
7;"2023-03-02";watch
7;"2023-01-23";watch
7;"2023-01-25";watch
7;"2023-02-26";watch
7;"2023-02-09";watch
7;"2023-02-04";watch
7;"2023-02-03";watch
7;"2023-03-10";watch
7;"2023-02-26";watch
7;"2023-02-02";watch
7;"2023-02-23";watch
8;"2023-04-17";watch
8;"2023-05-18";watch
8;"2023-04-22";watch
8;"2023-05-18";watch
8;"2023-05-23";watch
8;"2023-05-22";watch
8;"2023-05-13";watch
8;"2023-04-14";watch
8;"2023-05-20";watch
8;"2023-04-26";watch
8;"2023-05-24";watch
8;"2023-04-25";watch
8;"2023-05-19";watch
8;"2023-04-18";watch
8;"2023-06-06";watch
8;"2023-05-27";watch
8;"2023-04-13";watch
8;"2023-06-09";watch
9;"2023-05-02";watch
9;"2023-05-02";watch
10;"2023-03-29";watch
11;"2023-03-29";watch
12;"2023-05-25";watch
12;"2023-05-11";watch
12;"2023-05-08";watch
12;"2023-05-02";watch
12;"2023-05-15";watch
12;"2023-05-08";watch
12;"2023-05-09";watch
12;"2023-05-08";watch
12;"2023-05-09";watch
13;"2023-04-27";watch
13;"2023-05-02";watch
13;"2023-05-09";watch
13;"2023-04-11";watch
13;"2023-05-03";watch
13;"2023-04-25";watch
13;"2023-04-21";watch
13;"2023-04-22";watch
13;"2023-04-17";watch
14;"2023-04-14";watch
14;"2023-04-20";watch
15;"2023-06-25";watch
15;"2023-06-19";watch
16;"2023-05-17";watch
17;"2023-06-23";watch
17;"2023-06-23";watch
17;"2023-06-28";watch
17;"2023-07-28";watch
17;"2023-06-26";watch
17;"2023-06-13";watch
17;"2023-06-02";watch
17;"2023-06-17";watch
17;"2023-07-22";watch
17;"2023-06-01";watch
17;"2023-06-17";watch
17;"2023-06-07";watch
17;"2023-06-17";watch
17;"2023-06-13";watch
17;"2023-07-24";watch
17;"2023-07-22";watch
17;"2023-06-01";watch
17;"2023-06-10";watch
18;"2023-03-24";watch
18;"2023-03-01";watch
18;"2023-04-09";watch
18;"2023-04-15";watch
18;"2023-03-17";watch
18;"2023-03-29";watch
18;"2023-04-18";watch
18;"2023-03-26";watch
18;"2023-04-11";watch
18;"2023-03-07";watch
18;"2023-04-02";watch
18;"2023-03-18";watch
18;"2023-02-28";watch
18;"2023-02-26";watch
18;"2023-04-12";watch
18;"2023-04-09";watch
18;"2023-03-08";watch
18;"2023-03-17";watch
19;"2023-01-18";watch
19;"2023-01-11";watch
19;"2023-01-03";watch
19;"2023-01-14";watch
19;"2023-01-13";watch
19;"2023-01-13";watch
19;"2023-01-06";watch
19;"2023-01-23";watch
19;"2023-01-15";watch
20;"2023-04-04";watch
20;"2023-04-04";watch
21;"2023-06-11";watch
22;"2023-02-07";watch
22;"2023-02-24";watch
23;"2023-05-15";watch
23;"2023-05-11";watch
24;"2023-02-07";watch
24;"2023-01-29";watch
24;"2023-02-01";watch
24;"2023-02-10";watch
24;"2023-02-14";watch
24;"2023-01-28";watch
24;"2023-02-07";watch
24;"2023-01-22";watch
24;"2023-02-19";watch
25;"2023-07-02";watch
26;"2023-03-03";watch
26;"2023-03-08";watch
26;"2023-02-28";watch
26;"2023-02-27";watch
26;"2023-03-04";watch
26;"2023-03-10";watch
26;"2023-03-08";watch
26;"2023-03-01";watch
26;"2023-03-06";watch
27;"2023-03-22";watch
27;"2023-01-29";watch
27;"2023-01-27";watch
27;"2023-03-20";watch
27;"2023-02-24";watch
27;"2023-03-12";watch
27;"2023-02-14";watch
27;"2023-02-12";watch
27;"2023-02-08";watch
27;"2023-02-01";watch
27;"2023-02-27";watch
27;"2023-02-26";watch
27;"2023-01-22";watch
27;"2023-01-31";watch
27;"2023-02-27";watch
27;"2023-03-16";watch
27;"2023-02-13";watch
27;"2023-02-20";watch
28;"2023-04-03";watch
28;"2023-04-09";watch
28;"2023-04-09";watch
28;"2023-04-12";watch
29;"2023-02-20";watch
29;"2023-02-25";watch
30;"2023-03-27";watch
31;"2023-07-08";watch
31;"2023-07-06";watch
31;"2023-06-19";watch
31;"2023-06-24";watch
31;"2023-07-07";watch
31;"2023-07-14";watch
31;"2023-07-15";watch
31;"2023-07-18";watch
31;"2023-06-21";watch
32;"2023-02-04";watch
32;"2023-01-18";watch
33;"2023-06-25";watch
33;"2023-06-25";watch
34;"2023-02-22";watch
34;"2023-02-26";watch
35;"2023-04-22";watch
35;"2023-04-23";watch
36;"2023-02-26";watch
36;"2023-03-22";watch
36;"2023-03-21";watch
36;"2023-03-20";watch
36;"2023-03-16";watch
36;"2023-03-16";watch
36;"2023-03-21";watch
36;"2023-03-23";watch
36;"2023-02-28";watch
36;"2023-03-11";watch
36;"2023-03-18";watch
36;"2023-03-03";watch
36;"2023-03-21";watch
36;"2023-03-19";watch
36;"2023-03-01";watch
36;"2023-03-10";watch
36;"2023-03-07";watch
36;"2023-03-07";watch
36;"2023-03-15";watch
36;"2023-03-05";watch
36;"2023-03-11";watch
37;"2023-03-11";watch
37;"2023-03-13";watch
38;"2023-05-12";watch
38;"2023-05-23";watch
38;"2023-05-17";watch
